text_name,text_key,html_name,model_path,<# Docuscope Excluded Tokens>,Docuscope.!NORULES,<# Docuscope Untagged Tokens>,Docuscope.AbstractConcepts,Docuscope.Acknowledge,Docuscope.Anger,Docuscope.Apology,Docuscope.Aside,Docuscope.Attack_Citation,Docuscope.Authoritative_Citation,Docuscope.Autobio,Docuscope.Biographical_Time,Docuscope.Cause,Docuscope.Citations,Docuscope.CommonAuthorities,Docuscope.CommunicatorRole,Docuscope.Comparison,Docuscope.Concessive,Docuscope.Confidence,Docuscope.ConfirmExperience,Docuscope.ConfirmedThght,Docuscope.Confront,Docuscope.Consequence,Docuscope.Contested_Citation,Docuscope.Contingency,Docuscope.Curiosity,Docuscope.Definition,Docuscope.DenyDisclaim,Docuscope.DialogCues,Docuscope.DirectAddress,Docuscope.DirectReasoning,Docuscope.Disclosure,Docuscope.Example,Docuscope.Exceptions,Docuscope.Fear,Docuscope.Feedback,Docuscope.FirstPer,Docuscope.FollowUp,Docuscope.Future_Question,Docuscope.Future_in_Past,Docuscope.Generalization,Docuscope.GenericEvents,Docuscope.Immediacy,Docuscope.Imperative,Docuscope.In_Media,Docuscope.Inclusive,Docuscope.Innovations,Docuscope.Insist,Docuscope.Intensity,Docuscope.LangRef,Docuscope.MatureProcess,Docuscope.Metadiscourse,Docuscope.Motions,Docuscope.MoveBody,Docuscope.Narrative_Verbs,Docuscope.NegFeedback,Docuscope.Neg_Citation,Docuscope.Negative_Attribution,Docuscope.Negative_Relation,Docuscope.Negativity,Docuscope.Neutral_Attribution,Docuscope.Numbers,Docuscope.OpenQuery,Docuscope.OralCues,Docuscope.PersonPronoun,Docuscope.PersonProperty,Docuscope.PosFeedback,Docuscope.Positive_Attribution,Docuscope.Positivity,Docuscope.Precedent_Defending,Docuscope.Precedent_Setting,Docuscope.PredictedFuture,Docuscope.PriorKnowledge,Docuscope.PrivateThinking,Docuscope.Procedures,Docuscope.ProjectAhead,Docuscope.ProjectBack,Docuscope.Promise,Docuscope.Question,Docuscope.ReasonBackward,Docuscope.ReasonForward,Docuscope.Reassure,Docuscope.ReceivedPOV,Docuscope.RecurringEvents,Docuscope.Reinforce,Docuscope.Repair_Citation,Docuscope.ReportingEvents,Docuscope.ReportingStates,Docuscope.Request,Docuscope.Resemblances,Docuscope.Resistance,Docuscope.Responsibility,Docuscope.Sad,Docuscope.SceneShift,Docuscope.SelfDisclosure,Docuscope.SelfReluctance,Docuscope.Self_Promise,Docuscope.SenseObject,Docuscope.SenseProperty,Docuscope.Sequence,Docuscope.SpaceRelation,Docuscope.Specifiers,Docuscope.StandardsNeg,Docuscope.StandardsPos,Docuscope.SubjectivePercept,Docuscope.SubjectiveTime,Docuscope.Substitution,Docuscope.Support,Docuscope.TimeDate,Docuscope.TimeDuration,Docuscope.TimeShift,Docuscope.Transformation,Docuscope.Uncertainty,Docuscope.Updates,<# Included Tokens (Incl. by Tokenizer)>,<# Excluded Tokens (Excl. by Tokenizer)>,<# Tokens>
Julius Caesar rev.txt,juliuscaesarrev,Julius Caesar rev_Docuscope.html,0,17173,14.0534674079,789,1.17610578307,0.0110744424018,0.12181886642,0.0,0.0819508737735,0.0,0.00221488848037,0.135108197302,0.146182639704,0.110744424018,0.248067509801,0.48284568872,0.00442977696073,0.387605484064,0.0354382156858,0.263571729163,0.0,0.0221488848037,0.00885955392146,0.0177191078429,0.00221488848037,0.688830317394,0.17940596691,0.0132893308822,1.01663381249,0.024363773284,2.85277636271,0.0132893308822,0.0531573235288,0.00221488848037,0.0863806507342,0.201554851713,0.0,1.19382489092,0.0,0.110744424018,0.0,0.250282398281,0.221488848037,0.533788123768,0.392035261025,0.0,0.513854127445,0.0066446654411,0.380960818623,0.947972269596,0.256927063722,0.0,0.354382156858,0.527143458327,0.0199339963233,0.150612416665,0.00442977696073,0.0,0.0066446654411,0.170546412988,1.15174200979,0.11960397794,0.135108197302,0.0310084387251,0.385390595584,0.854946953421,0.826153403176,0.0066446654411,0.0132893308822,0.72648342156,0.0,0.00885955392146,0.396465037985,0.0398679926466,0.219273959556,0.00442977696073,0.660036767149,0.429688365191,0.0066446654411,1.47290083944,0.0155042193626,0.42525858823,0.0287935502447,0.0287935502447,0.0996699816164,0.0,0.0110744424018,1.64566214091,1.26691621077,0.0753062083324,0.139537974263,0.879310726705,0.0642317659306,0.112959312499,0.312299275731,0.744202529403,0.0066446654411,0.0,1.77412567277,0.586945447297,0.36324171078,1.10965912866,0.801789629892,0.265786617644,1.06979113602,0.781855633569,0.1240337549,0.0,0.0132893308822,0.00885955392146,0.352167268378,0.230348401958,0.197125074752,0.252497286762,0.318943941173,45149,0,45149
King Lear rev.txt,kinglearrev,King Lear rev_Docuscope.html,0,23301,14.3211438273,711,1.20341550292,0.0399474025866,0.156460660131,0.00332895021555,0.10486193179,0.0,0.0,0.259658116813,0.114848782436,0.0649145292032,0.203065963149,0.547612310458,0.0,0.539289934919,0.0798948051732,0.251335741274,0.0166447510777,0.0133158008622,0.0466053030177,0.01498027597,0.0,0.71073087102,0.169776460993,0.00332895021555,0.977046888264,0.00332895021555,3.00770651975,0.00332895021555,0.0266316017244,0.00499342532332,0.0249671266166,0.113184307329,0.0,1.36320511327,0.0,0.0982040313587,0.0,0.183092261855,0.168111985885,0.377835849465,0.522645183841,0.0,0.404467451189,0.00332895021555,0.382829274788,0.707401920804,0.291283143861,0.00332895021555,0.236355465304,0.502671482548,0.01498027597,0.163118560562,0.0,0.0,0.0,0.231362039981,1.63285008073,0.0715724296343,0.19474358761,0.0116513257544,0.362855573495,0.917125784384,1.56627107642,0.0,0.0116513257544,0.767323024684,0.0,0.0,0.251335741274,0.00998685064665,0.191414637394,0.0199737012933,0.574243912182,0.364520048603,0.0,1.53464604937,0.0183092261855,0.276302867891,0.0166447510777,0.0066579004311,0.124835633083,0.0,0.00998685064665,1.91913979926,1.00034953977,0.0649145292032,0.126500108191,0.707401920804,0.0798948051732,0.154796185023,0.219710714226,0.877178381797,0.00499342532332,0.01498027597,1.9274621748,0.827244128564,0.284625243429,0.95707318697,0.747349323391,0.414454301836,1.11519832221,0.645816341817,0.126500108191,0.00832237553887,0.0066579004311,0.0,0.249671266166,0.113184307329,0.166447510777,0.231362039981,0.302934469615,60079,0,60079
Othello rev.txt,othellorev,Othello rev_Docuscope.html,0,23389,13.6241698564,856,1.17937645173,0.0392580233585,0.116138319102,0.017993260706,0.0458010272516,0.0,0.0,0.243726895018,0.111231066182,0.071973042824,0.268263159617,0.523440311447,0.0,0.377858474826,0.0850590506101,0.292799424216,0.0261720155723,0.0327150194654,0.0310792684922,0.0196290116793,0.00163575097327,0.750809696732,0.132495828835,0.00654300389309,1.02070860732,0.00654300389309,2.69244610201,0.00490725291982,0.122681322995,0.00327150194654,0.0572512840645,0.104688062289,0.0,1.48853338568,0.00817875486636,0.106323813263,0.0,0.166846599274,0.212647626525,0.44492426473,0.376222723853,0.00490725291982,0.238819642098,0.00327150194654,0.446560015703,1.00762259954,0.341871953414,0.00163575097327,0.314064186868,0.451467268623,0.0229005136258,0.121045572022,0.0,0.00327150194654,0.00817875486636,0.1652108483,1.38548107436,0.096509307423,0.129224326888,0.0327150194654,0.458010272516,1.11721791474,0.935649556711,0.00327150194654,0.00817875486636,1.08777439723,0.0,0.00490725291982,0.261720155723,0.00654300389309,0.271534661563,0.00817875486636,0.53489056826,0.402394739425,0.00327150194654,1.59812870089,0.0212647626525,0.379494225799,0.0163575097327,0.0163575097327,0.125952824942,0.0,0.00981450583963,1.73062452972,1.17119769686,0.111231066182,0.096509307423,0.996172342723,0.0752445447705,0.135767330782,0.276441914483,1.05342362679,0.0130860077862,0.00654300389309,1.5359701639,0.606863611084,0.276441914483,0.952007066444,0.788431969117,0.407301992345,1.30696502764,0.698465665587,0.132495828835,0.00490725291982,0.0114502568129,0.0114502568129,0.300978179082,0.147217587594,0.155396342461,0.330421696601,0.368043968986,61134,0,61134
Romeo and Juliet rev.txt,romeoandjulietrev,Romeo and Juliet rev_Docuscope.html,0,21926,14.3297216911,851,0.94894129311,0.0407194957864,0.0743573401317,0.0088520643014,0.100913533036,0.0,0.0,0.194745414631,0.134551377381,0.0548827986686,0.265561929042,0.423128673607,0.0,0.426669499327,0.0424899086467,0.154025918844,0.0088520643014,0.0106224771617,0.00354082572056,0.0106224771617,0.00354082572056,0.57184335387,0.111536010198,0.012392890022,0.869272714397,0.00354082572056,2.45025139863,0.0,0.0371786700659,0.00531123858084,0.076127752992,0.113306423058,0.00708165144112,1.42695276538,0.0,0.115076835918,0.0,0.19297500177,0.132780964521,0.472700233694,0.343460094894,0.00354082572056,0.242546561858,0.0106224771617,0.391261242122,0.704624318391,0.44260321507,0.00177041286028,0.237235323277,0.607251611076,0.0177041286028,0.0849798172934,0.0,0.0,0.00708165144112,0.203597478932,1.49068762835,0.0566532115289,0.178811698888,0.012392890022,0.470929820834,0.796685787126,1.32249840663,0.00531123858084,0.0106224771617,1.28000849798,0.00531123858084,0.0,0.306281424828,0.00354082572056,0.173500460307,0.00531123858084,0.596629133914,0.396572480702,0.00354082572056,1.33843212237,0.0389490829261,0.458536930812,0.0283266057645,0.0300970186247,0.102683945896,0.0,0.0106224771617,1.85716309043,1.20388074499,0.0655052758303,0.109765597337,0.828553218611,0.0584236243892,0.263791516182,0.299199773387,0.755966291339,0.012392890022,0.012392890022,2.22186813965,0.987890376036,0.347000920615,1.19856950641,0.88520643014,0.295658947667,0.906451384463,0.483322710856,0.200056653212,0.0212449543233,0.0088520643014,0.0407194957864,0.529353445223,0.207138304653,0.106224771617,0.224842433255,0.339919269174,56484,0,56484
Titus Andronicus rev.txt,titusandronicusrev,Titus Andronicus rev_Docuscope.html,0,18430,14.2832499569,865,0.914265999655,0.0452820424357,0.135846127307,0.0,0.0452820424357,0.0,0.0,0.194065896153,0.176815594273,0.0754700707262,0.174659306538,0.666292910126,0.00431257547007,0.32991202346,0.062532344316,0.239347938589,0.00646886320511,0.0194065896153,0.0258754528204,0.0237191650854,0.0,0.640417457306,0.153096429188,0.0,0.730981542177,0.00862515094014,2.75573572538,0.0129377264102,0.0646886320511,0.00646886320511,0.0301880282905,0.109970674487,0.0,1.31317923064,0.0,0.172503018803,0.0,0.219941348974,0.222097636709,0.463601863033,0.409694669657,0.00215628773504,0.457132999827,0.0,0.293255131965,0.677074348801,0.28678626876,0.00215628773504,0.217785061239,0.539071933759,0.00431257547007,0.125064688632,0.0,0.0,0.0,0.271692254614,1.37139899948,0.0884077971364,0.140158702777,0.0517509056408,0.33422459893,0.955235466621,1.51371398999,0.0,0.00215628773504,0.966016905296,0.0,0.0,0.336380886666,0.0,0.161721580128,0.00646886320511,0.485164740383,0.345006037606,0.0150940141452,1.11048818354,0.0366568914956,0.526134207349,0.0323443160255,0.0431257547007,0.112126962222,0.0,0.00646886320511,1.91693979645,1.00914266,0.0646886320511,0.170346731068,0.750388131792,0.0280317405555,0.379506641366,0.222097636709,0.683543212006,0.00646886320511,0.0345006037606,2.20803864068,0.793513886493,0.256598240469,1.07598757978,0.840952216664,0.32559944799,1.20536484388,0.577885112989,0.0690012075211,0.00646886320511,0.00646886320511,0.0,0.28678626876,0.148783853717,0.120752113162,0.183284457478,0.280317405555,46376,0,46376
Antony And Cleopatra rev.txt,antonyandcleopatrarev,Antony And Cleopatra rev_Docuscope.html,0,22198,14.5347297035,1120,1.0808328771,0.0512159369867,0.0794730056691,0.00706426717058,0.151881744168,0.0,0.0,0.178372746057,0.166010278509,0.104197940766,0.220758349081,0.635784045353,0.00883033396323,0.529820037794,0.0777069388764,0.241951150593,0.00529820037794,0.0105964007559,0.0105964007559,0.00353213358529,0.0,0.605760909878,0.111262207937,0.0,0.943079667273,0.0105964007559,2.46719530933,0.00706426717058,0.0264910018897,0.0,0.0264910018897,0.0759408720838,0.0,1.3439768292,0.00529820037794,0.113028274729,0.0,0.185437013228,0.203097681154,0.377938293626,0.520989703831,0.0,0.54748070572,0.0,0.482136234392,0.745280186497,0.340850890981,0.00529820037794,0.324956289847,0.561609240061,0.0211928015118,0.105964007559,0.0,0.0,0.0,0.123624675485,1.08966321106,0.135987143034,0.121858608693,0.024724935097,0.399131095138,1.07023647634,1.24331102202,0.0,0.0158946011338,0.865372728397,0.0,0.0,0.277272486445,0.0229588683044,0.185437013228,0.0141285343412,0.623421577804,0.406195362309,0.00176606679265,1.16737014994,0.0141285343412,0.301997421542,0.0176606679265,0.0264910018897,0.090069406425,0.0,0.0141285343412,1.91971460361,1.25037528919,0.0618123377426,0.137753209826,0.877735195945,0.0618123377426,0.132455009448,0.243717217385,0.803560390654,0.00706426717058,0.00353213358529,1.78196139378,0.54748070572,0.270208219275,1.0331490737,0.752344453667,0.217226215495,1.02785087332,0.695830316303,0.143051410204,0.0105964007559,0.00706426717058,0.00353213358529,0.268442152482,0.20662981474,0.241951150593,0.176606679265,0.386768627589,56623,0,56623
Macbeth rev.txt,macbethrev,Macbeth rev_Docuscope.html,0,15128,13.7326214243,599,1.25873765122,0.0619051303877,0.128969021641,0.00515876086564,0.157342206402,0.0,0.0,0.116072119477,0.177977249865,0.0773814129846,0.20119167376,0.528772988728,0.00257938043282,0.404962727953,0.0696432716861,0.216667956357,0.0,0.0128969021641,0.0309525651938,0.0206350434626,0.0,0.619051303877,0.196032912894,0.00515876086564,0.838298640667,0.00515876086564,2.15636204184,0.00773814129846,0.056746369522,0.00773814129846,0.0851195542831,0.232144238954,0.0,1.06786349919,0.0,0.108333978178,0.00773814129846,0.232144238954,0.247620521551,0.425597771415,0.472026619206,0.0,0.613892543011,0.00257938043282,0.415280249684,0.714488379891,0.237302999819,0.0,0.229564858521,0.732544042921,0.0154762825969,0.139286543372,0.0,0.00257938043282,0.0,0.198612293327,1.34127782507,0.157342206402,0.141865923805,0.0335319456267,0.273414325879,0.861513064562,1.04980783616,0.00515876086564,0.00773814129846,0.781552271144,0.0,0.0,0.232144238954,0.00257938043282,0.242461760685,0.0128969021641,0.62163068431,0.5029791844,0.00515876086564,1.37480977069,0.0232144238954,0.337898836699,0.0128969021641,0.0257938043282,0.121230880343,0.0,0.00773814129846,1.73076427042,1.31548402074,0.0593257499549,0.20119167376,0.925997575382,0.0206350434626,0.147024684671,0.294049369341,0.753179086383,0.0,0.0,2.10993319405,0.776393510279,0.317263793237,1.15298305347,0.848616162398,0.376589543192,1.10397482525,0.729964662488,0.147024684671,0.0128969021641,0.0103175217313,0.00515876086564,0.345636977998,0.177977249865,0.180556630297,0.26567618458,0.381748304057,38769,0,38769
Hamlet rev.txt,hamletrev,Hamlet rev_Docuscope.html,0,26515,14.3894162622,844,1.17119825895,0.0472488295176,0.09163409361,0.00286356542531,0.0515441776556,0.0,0.0,0.25342554014,0.124565096001,0.045817046805,0.23194879945,0.614234783729,0.0100224789886,0.478215426027,0.0687255702075,0.23194879945,0.00286356542531,0.0171813925519,0.0515441776556,0.0329310023911,0.00286356542531,0.724482052604,0.211903841473,0.00715891356328,0.966453331042,0.00572713085062,2.7375685466,0.00859069627593,0.117406182438,0.0128860444139,0.0701573529201,0.0959294417479,0.0,1.04233781481,0.0114542617012,0.115974399725,0.00429534813797,0.177541056369,0.233380582163,0.386581332417,0.38801311513,0.0,0.442420858211,0.00429534813797,0.39374024598,0.9163409361,0.350786764601,0.0,0.293515456094,0.519737124694,0.0143178271266,0.108815486162,0.0,0.0,0.00572713085062,0.136019357702,1.27285483155,0.1131108343,0.160359663817,0.0314992196784,0.448147989061,0.90059132626,1.006543247,0.0,0.00859069627593,0.85191071403,0.0,0.0,0.277765846255,0.0200449579772,0.29637902152,0.00859069627593,0.558395257936,0.429534813797,0.00429534813797,1.43464627808,0.037226350529,0.362241026302,0.0171813925519,0.0214767406898,0.138882923128,0.00286356542531,0.00859069627593,1.753933823,1.20412926134,0.0558395257936,0.216199189611,0.926363415088,0.0816116146214,0.14031470584,0.300674369658,0.684392136649,0.0143178271266,0.00715891356328,2.03169966926,0.723050269891,0.34505963375,1.02515642226,0.859069627593,0.326446458485,1.00367968157,0.767435533983,0.144610053978,0.00286356542531,0.00715891356328,0.00429534813797,0.360809243589,0.160359663817,0.153200750254,0.303537935083,0.282061194393,69843,0,69843
Troilus and Cressida rev.txt,troilusandcressidarev,Troilus and Cressida rev_Docuscope.html,0,23484,14.6134127181,919,1.35615645415,0.0231538906806,0.125692549409,0.0,0.0545770280327,0.0,0.0,0.158769536095,0.0843463160506,0.0578847267014,0.28280823617,0.545770280327,0.0066153973373,0.497808649632,0.0595385760357,0.218308112131,0.0165384933433,0.0132307946746,0.0148846440089,0.00826924667163,0.0,0.653270487059,0.132307946746,0.0,0.949309517903,0.00330769866865,2.42454312412,0.0,0.0694616720417,0.0148846440089,0.0430000826925,0.119077152071,0.0,1.02869428595,0.00496154800298,0.167038782767,0.0,0.264615893492,0.267923592161,0.391962292235,0.327462168196,0.0,0.459770114943,0.00330769866865,0.36715455222,0.90630943521,0.281154386835,0.00165384933433,0.264615893492,0.572231869677,0.0248077400149,0.0562308773671,0.0,0.00165384933433,0.00496154800298,0.200115769453,1.38096419416,0.173654180104,0.158769536095,0.0463077813611,0.560654924336,1.03034813528,1.0071942446,0.00165384933433,0.0066153973373,0.911270983213,0.0,0.0,0.291077482841,0.0066153973373,0.17200033077,0.0,0.676424377739,0.315885222856,0.0066153973373,1.4454643182,0.0165384933433,0.324154469528,0.0148846440089,0.00992309600595,0.0909617133879,0.0,0.00826924667163,1.67369552634,1.14115604068,0.0744232200447,0.2216158108,0.934424873894,0.0198461920119,0.081038617382,0.218308112131,0.663193583065,0.0,0.0148846440089,2.0573885719,0.805424625817,0.266269742826,1.0071942446,0.861655503184,0.334077565534,1.37104109816,0.694616720417,0.119077152071,0.00826924667163,0.00992309600595,0.00992309600595,0.248077400149,0.152154138758,0.109154056065,0.213346564128,0.456462416274,60465,0,60465
Timon Of Athens rev.txt,timonofathensrev,Timon Of Athens rev_Docuscope.html,0,16558,13.9547067368,628,1.3597504346,0.0666777796299,0.14288095635,0.00952539708999,0.0952539708999,0.004762698545,0.0,0.12383016217,0.140499607077,0.03810158836,0.145262305622,0.804896054104,0.0,0.52389683995,0.0571523825399,0.235753577977,0.00714404781749,0.0,0.0547710332674,0.0,0.004762698545,0.662015097754,0.109542066535,0.00952539708999,1.00969209154,0.014288095635,3.03383897316,0.004762698545,0.042864286905,0.014288095635,0.0595337318124,0.0952539708999,0.00714404781749,1.27402186079,0.0,0.135736908532,0.00714404781749,0.254804372157,0.150025004167,0.404829376325,0.44769366323,0.0,0.423880170505,0.00714404781749,0.471507155955,0.781082561379,0.223846831615,0.0023813492725,0.22860953016,0.521515490677,0.00952539708999,0.128592860715,0.0,0.0,0.004762698545,0.188126592527,1.57169051985,0.102398018717,0.204796037435,0.0166694449075,0.340532945967,1.04303098135,0.985878598814,0.00714404781749,0.00952539708999,0.978734550997,0.0,0.00714404781749,0.188126592527,0.014288095635,0.207177386707,0.0119067463625,0.542947634129,0.433405567595,0.0119067463625,1.4026147215,0.0214321434525,0.37149048651,0.014288095635,0.004762698545,0.16193175053,0.0,0.014288095635,1.89555402091,1.08351391899,0.0666777796299,0.13335555926,0.778701212107,0.042864286905,0.11430476508,0.226228180887,0.742980973019,0.0,0.00714404781749,1.85983378182,0.602481365942,0.240516276522,0.866811135189,0.621532160122,0.392922629962,1.50977543876,0.671540494844,0.100016669445,0.0119067463625,0.004762698545,0.0023813492725,0.273855166337,0.176219846165,0.188126592527,0.245278975067,0.328626199605,41993,0,41993
